benchmark,run_id,partial,models,conditions,total,success,errors,fallbacks,status_counts,error_type_counts,path
repobench,ehpc_mistral-24b_repobench_20260318_2334,False,mistral-24b,"6x,matched",400,211,189,0,"{""error"": 189, ""ok"": 211}","{""OutOfMemoryError"": 29, ""RuntimeError"": 160}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_mistral-24b_repobench_20260318_2334.manifest.json
repobench,ehpc_mistral-24b_repobench_20260318_2334_partial,True,mistral-24b,"6x,matched",400,211,189,0,"{""error"": 189, ""ok"": 211}","{""OutOfMemoryError"": 29, ""RuntimeError"": 160}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_mistral-24b_repobench_20260318_2334_partial.manifest.json
repobench,ehpc_qwen25-7b_repobench_20260318_2334,False,qwen25-7b,"6x,matched",400,258,142,0,"{""error"": 142, ""ok"": 258}","{""RuntimeError"": 142}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_qwen25-7b_repobench_20260318_2334.manifest.json
repobench,ehpc_qwen25-7b_repobench_20260318_2334_partial,True,qwen25-7b,"6x,matched",400,258,142,0,"{""error"": 142, ""ok"": 258}","{""RuntimeError"": 142}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_qwen25-7b_repobench_20260318_2334_partial.manifest.json
longbench,longllmlingua_deepseek-14b_longbench_20260318_2334,False,deepseek-14b,"10x,4x,matched",324,324,0,0,"{""ok"": 324}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_deepseek-14b_longbench_20260318_2334.manifest.json
longbench,longllmlingua_deepseek-14b_longbench_20260318_2334_partial,True,deepseek-14b,"10x,4x,matched",324,324,0,0,"{""ok"": 324}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_deepseek-14b_longbench_20260318_2334_partial.manifest.json
longbench,longllmlingua_qwen25-7b_longbench_20260318_2334,False,qwen25-7b,"10x,4x,matched",324,324,0,0,"{""ok"": 324}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_qwen25-7b_longbench_20260318_2334.manifest.json
longbench,longllmlingua_qwen25-7b_longbench_20260318_2334_partial,True,qwen25-7b,"10x,4x,matched",324,324,0,0,"{""ok"": 324}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_qwen25-7b_longbench_20260318_2334_partial.manifest.json
longbench,longllmlingua_smoke_longbench,False,qwen25-7b,4x,2,0,2,0,"{""error"": 2}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_smoke_longbench.manifest.json
longbench,longllmlingua_smoke_longbench_partial,True,qwen25-7b,4x,2,0,2,0,"{""error"": 2}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_smoke_longbench_partial.manifest.json
longbench,longllmlingua_smoke_longbench_tf402,False,qwen25-7b,4x,2,2,0,0,"{""ok"": 2}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_smoke_longbench_tf402.manifest.json
longbench,longllmlingua_smoke_longbench_tf402_partial,True,qwen25-7b,4x,2,2,0,0,"{""ok"": 2}",{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_smoke_longbench_tf402_partial.manifest.json
repobench,longllmlingua_deepseek-14b_repobench_20260318_2334,False,deepseek-14b,"6x,matched",400,398,2,0,"{""error"": 2, ""ok"": 398}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_repobench_results/longllmlingua_deepseek-14b_repobench_20260318_2334.manifest.json
repobench,longllmlingua_deepseek-14b_repobench_20260318_2334_partial,True,deepseek-14b,"6x,matched",400,398,2,0,"{""error"": 2, ""ok"": 398}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_repobench_results/longllmlingua_deepseek-14b_repobench_20260318_2334_partial.manifest.json
repobench,longllmlingua_qwen25-7b_repobench_20260318_2334,False,qwen25-7b,"6x,matched",400,398,2,0,"{""error"": 2, ""ok"": 398}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_repobench_results/longllmlingua_qwen25-7b_repobench_20260318_2334.manifest.json
repobench,longllmlingua_qwen25-7b_repobench_20260318_2334_partial,True,qwen25-7b,"6x,matched",400,398,2,0,"{""error"": 2, ""ok"": 398}","{""RuntimeError"": 2}",modal_results_full_20260319/all_results/longllmlingua_repobench_results/longllmlingua_qwen25-7b_repobench_20260318_2334_partial.manifest.json
longbench,longllmlingua_smoke_longbench_suite,False,,,,,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_suite_results/longllmlingua_smoke_longbench_suite.manifest.json
longbench,longllmlingua_deepseek14_longbench_200,False,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_deepseek14_longbench_200.json
longbench,longllmlingua_deepseek14_longbench_200_partial,True,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_deepseek14_longbench_200_partial.json
longbench,longllmlingua_mistral24_longbench_200,False,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_mistral24_longbench_200.json
longbench,longllmlingua_mistral24_longbench_200_partial,True,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_mistral24_longbench_200_partial.json
longbench,longllmlingua_qwen25_longbench_200,False,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_qwen25_longbench_200.json
longbench,longllmlingua_qwen25_longbench_200_partial,True,,,0,0,0,0,{},{},modal_results_full_20260319/all_results/longllmlingua_longbench_results/longllmlingua_qwen25_longbench_200_partial.json
repobench,person2_repobench,False,"deepseek-14b,mistral-24b",,100,0,0,0,"{""unknown"": 100}",{},modal_results_full_20260319/all_results/repobench_results/person2_repobench.json
repobench,person2_repobench_partial,True,"deepseek-14b,mistral-24b",,100,0,0,0,"{""unknown"": 100}",{},modal_results_full_20260319/all_results/repobench_results/person2_repobench_partial.json
